trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,36,0.5,16.0,121.84006370000134,122.33979220000037,122.33979220000037,122.33979220000037,,left,-16.0,1,1,0.12184859999251785,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,37,0.5,16.0,122.48947580000095,122.98916029999964,122.98916029999964,122.98916029999964,,left,-16.0,1,1,0.06422469999233726,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,38,0.5,15.5,123.0723089000021,123.57209319999674,123.57209319999674,123.57209319999674,,left,-15.5,1,1,0.1881342999986373,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,39,0.5,15.5,123.78839539999899,124.28811999999743,124.28811999999743,124.28811999999743,,right,15.5,0,0,0.03838299999915762,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,40,0.5,16.0,124.3547275000019,124.83750010000222,124.83750010000222,124.8539837999997,,right,16.0,0,0,0.04215689999546157,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,41,0.5,16.5,124.90381999999954,125.40357760000188,125.40357760000188,125.40357760000188,,left,-16.5,1,1,0.012505499995313585,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,42,0.5,16.5,125.43671770000219,125.9364882000009,125.9364882000009,125.9364882000009,,right,16.5,0,0,0.25156019999849377,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,43,0.5,17.0,126.2193791000027,126.71907729999657,126.71907729999657,126.71907729999657,,right,17.0,1,1,0.13630949999787845,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,44,0.5,17.0,126.8853642000031,127.38513989999774,127.38513989999774,127.38513989999774,,left,-17.0,0,0,0.1734474999975646,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,45,0.5,17.5,127.58462850000069,128.08442939999804,128.08442939999804,128.08442939999804,,right,17.5,1,1,0.1583279999977094,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,46,0.5,17.5,128.267399999997,128.7670203000016,128.7670203000016,128.7670203000016,,left,-17.5,0,0,0.10327899999538204,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,47,0.5,18.0,128.90016150000156,129.3999027000027,129.3999027000027,129.3999027000027,,right,18.0,1,1,0.036184299999149516,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,48,0.5,18.0,129.46622840000055,129.96599330000026,129.96599330000026,129.96599330000026,,right,18.0,1,1,0.009975299995858222,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,49,0.5,18.0,129.99940380000044,130.49888140000257,130.49888140000257,130.49888140000257,,right,18.0,1,1,0.011970200001087505,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,,,,,,,,,,,,,,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
2,0,2,0,0,2,10.0,130.53195859999687,131.03179249999812,131.03179249999812,131.03179249999812,131.33123779999733,right,10.0,1,1,0.42680660000041826,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
2,0,2,0,1,2,8.0,131.48104859999876,131.9807832000006,131.9807832000006,131.9807832000006,132.28035359999922,right,8.0,1,1,0.3234636999986833,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
2,0,2,0,2,1,6.0,132.33029939999687,132.8299552000026,132.8299552000026,132.8299552000026,133.12951099999918,left,-6.0,0,0,0.36639760000252863,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
2,0,2,0,3,1,7.0,133.21280329999718,133.71261879999656,133.71261879999656,133.71261879999656,134.01202380000177,left,-7.0,1,1,0.3586317000008421,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
2,0,2,0,4,1,7.0,134.0953038000007,134.59504420000303,134.59504420000303,134.59504420000303,134.89442250000138,left,-7.0,1,1,0.30635959999926854,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
2,0,2,0,5,1,7.0,134.92794490000233,135.42752550000296,135.42752550000296,135.42752550000296,,left,-7.0,1,1,0.14095099999394733,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
2,0,2,0,6,0.5,6.0,135.5939223000023,136.09364630000346,136.09364630000346,136.09364630000346,136.3930771000014,right,6.0,0,0,0.3500493000028655,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
2,0,2,0,7,0.5,6.5,136.47646309999982,136.976107399998,136.976107399998,136.976107399998,137.27563189999637,left,-6.5,1,1,0.3013498999935109,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
2,0,2,0,8,0.5,6.5,137.30899340000178,137.80865820000326,137.80865820000326,137.80865820000326,,right,6.5,1,1,0.24999189999653026,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
2,0,2,0,9,0.5,6.5,138.07498209999903,138.5745569999999,138.5745569999999,138.5745569999999,138.87413650000235,left,-6.5,0,0,0.3774790999959805,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
2,0,2,0,10,0.5,7.0,138.9741079000014,139.47370200000296,139.47370200000296,139.47370200000296,,left,-7.0,1,1,0.2567523999969126,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
